處理編號,車種1,車種2,車種3,車種4,車種5,車種6,車種7,當事者區分.類別.1,當事者區分.類別.2,當事者區分.類別.3,當事者區分.類別.4,當事者區分.類別.5,當事者區分.類別.6,當事者區分.類別.7,年齡1,年齡2,年齡3,年齡4,年齡5,年齡6,年齡7,受傷程度1,受傷程度2,受傷程度3,受傷程度4,受傷程度5,受傷程度6,受傷程度7,車輛牌照號碼1,車輛牌照號碼2,車輛牌照號碼3,車輛牌照號碼4,車輛牌照號碼5,車輛牌照號碼6,車輛牌照號碼7,車輛用途1,車輛用途2,車輛用途3,車輛用途4,車輛用途5,車輛用途6,車輛用途7,駕駛資格情形1,駕駛資格情形2,駕駛資格情形3,駕駛資格情形4,駕駛資格情形5,駕駛資格情形6,駕駛資格情形7,飲酒情形1,飲酒情形2,飲酒情形3,飲酒情形4,飲酒情形5,飲酒情形6,飲酒情形7,車輛撞擊部位最初1,車輛撞擊部位最初2,車輛撞擊部位最初3,車輛撞擊部位最初4,車輛撞擊部位最初5,車輛撞擊部位最初6,車輛撞擊部位最初7,肇事因素個別1,肇事因素個別2,肇事因素個別3,肇事因素個別4,肇事因素個別5,肇事因素個別6,肇事因素個別7,肇事因素主要1,肇事因素主要2,肇事因素主要3,肇事因素主要4,肇事因素主要5,肇事因素主要6,肇事因素主要7,職.業1,職.業2,職.業3,職.業4,職.業5,職.業6,職.業7,旅次目的1,旅次目的2,旅次目的3,旅次目的4,旅次目的5,旅次目的6,旅次目的7,國籍1,國籍2,國籍3,國籍4,國籍5,國籍6,國籍7
10205YZ000036,自用 小客車,普通重型 機車,,,,,,小客車自用,機車普通重型,,,,,,50,23,,,,,,未受傷,受傷,,,,,,WY****1代號1424,75****V代號1425,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經檢測無酒精反應,經檢測無酒精反應,,,,,,汽車左前車頭（身）,機車前車頭,,,,,,左轉彎未依規定,未注意車前狀態,,,,,,左轉彎未依規定,左轉彎未依規定,,,,,,技術員及助理人員,技術員及助理人員,,,,,,上、下班,上、下班,,,,,,本國,本國,
10205YZ000037,普通重型 機車,腳踏自行車 慢車,,,,,,機車普通重型,腳踏自行車,,,,,,18,57,,,,,,未受傷,受傷,,,,,,87****F代號1336,,,,,,,其他,其他,,,,,,無照（未達考照年齡）,非汽（機）車駕駛人,,,,,,經檢測無酒精反應,非駕駛人，未檢測,,,,,,機車右側車身,非汽（機）車,,,,,,未保持行車安全距離,尚未發現肇事因素,,,,,,未保持行車安全距離,未保持行車安全距離,,,,,,高中生,無業者,,,,,,上、下學,社交活動,,,,,,本國,本國,
10205YZ000038,自用 小客車,普通重型 機車,,,,,,小客車自用,機車普通重型,,,,,,54,41,,,,,,未受傷,受傷,,,,,,DH****6代號1426,52****E代號1427,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經檢測無酒精反應,經檢測無酒精反應,,,,,,汽車右前車頭（身）,機車前車頭,,,,,,未依規定讓車,未依規定減速,,,,,,未依規定讓車,未依規定讓車,,,,,,其他,其他,,,,,,其他,業務聯繫,,,,,,本國,本國,
10205YZ000040,自用 小客車,自用 小客車,自用 小客車,,,,,小客車自用,小客車自用,小客車自用,,,,,28,45,56,,,,,,,,,,,,6F****7代號1428,WY****8代號1429,03****X代號1430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,本國,本國,本國
10205YZ000045,自用 小客車,自用 小客車,,,,,,小客車自用,小客車自用,,,,,,28,35,,,,,,未受傷,未受傷,,,,,,5B****5代號1431,6F****8代號1432,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經檢測無酒精反應,經檢測無酒精反應,,,,,,汽車右前車頭（身）,汽車左前車頭（身）,,,,,,未依規定讓車,未依規定減速,,,,,,未依規定讓車,未依規定讓車,,,,,,不明,不明,,,,,,不明,不明,,,,,,本國,本國,
10205YZ000046,自用 小客車,普通重型 機車,,,,,,小客車自用,機車普通重型,,,,,,29,21,,,,,,未受傷,受傷,,,,,,06****X代號1433,20****E代號1434,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經檢測無酒精反應,經檢測無酒精反應,,,,,,汽車右前車頭（身）,機車前車頭,,,,,,未依規定讓車,未注意車前狀態,,,,,,未依規定讓車,未依規定讓車,,,,,,其他,大學（研究）生,,,,,,其他,其他,,,,,,本國,本國,
10205YZ000047,自用 小貨車(含客、貨兩用),自用 小客車,,,,,,小貨車自用,小客車自用,,,,,,29,37,,,,,,,,,,,,,85****J代號1435,5H****0代號1436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,本國,本國,
10205YZ000048,普通重型 機車,自用 小客車,,,,,,機車普通重型,小客車自用,,,,,,29,58,,,,,,受傷,未受傷,,,,,,76****F代號1437,WY****3代號1438,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經檢測無酒精反應,經檢測無酒精反應,,,,,,機車前車頭,汽車右側車身,,,,,,起步未注意其他車（人）安全,未注意車前狀態,,,,,,起步未注意其他車（人）安全,起步未注意其他車（人）安全,,,,,,其他,其他,,,,,,上、下班,其他,,,,,,本國,本國,
10205YZ000049,自用 小貨車(含客、貨兩用),普通重型 機車,,,,,,小貨車自用,機車普通重型,,,,,,55,53,,,,,,未受傷,受傷,,,,,,02****X代號1439,80****C代號1440,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經檢測無酒精反應,不明,,,,,,汽車左前車頭（身）,機車左側車身,,,,,,未依規定減速,尚未發現肇事因素,,,,,,未依規定減速,未依規定減速,,,,,,技術工,事務工作者,,,,,,業務聯繫,上、下班,,,,,,本國,本國,
10205YZ000050,普通重型 機車,租賃車 小客車,,,,,,機車普通重型,小客車租貸車,,,,,,24,49,,,,,,受傷,未受傷,,,,,,2H****1代號1441,00****J代號1442,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經檢測無酒精反應,經檢測無酒精反應,,,,,,機車前車頭,汽車左前車頭（身）,,,,,,未依規定讓車,未依規定減速,,,,,,未依規定讓車,未依規定讓車,,,,,,大學（研究）生,服務工作者,,,,,,其他,其他,,,,,,本國,本國,
10205YZ000051,自用 小客車,自用 小客車,,,,,,小客車自用,小客車自用,,,,,,55,32,,,,,,受傷,受傷,,,,,,Q2****6代號1443,11****S代號1444,,,,,,幼童專用車,幼童專用車,,,,,,有適當之駕照,有適當之駕照,,,,,,不明,經檢測無酒精反應,,,,,,汽車左前車頭（身）,汽車左後車尾（身）,,,,,,未保持行車安全距離,尚未發現肇事因素,,,,,,未保持行車安全距離,未保持行車安全距離,,,,,,技術員及助理人員,技術員及助理人員,,,,,,觀光旅遊,觀光旅遊,,,,,,本國,本國,
10205YZ000056,普通重型 機車, ,,,,,,機車普通重型,,,,,,,25,0,,,,,,受傷,,,,,,,51****W代號1445,,,,,,,其他,,,,,,,有適當之駕照,,,,,,,經呼氣檢測0.26至0.40mg∕L或血液檢測0.051至0.08,,,,,,,機車右側車身,,,,,,,酒醉（後）駕駛失控,尚未發現肇事因素,,,,,,酒醉（後）駕駛失控,酒醉（後）駕駛失控,,,,,,其他,,,,,,,其他,,,,,,,本國,本國,
10205YZ000057,自用 小客車,普通重型 機車,,,,,,小客車自用,機車普通重型,,,,,,49,53,,,,,,未受傷,受傷,,,,,,6F****7代號1446,PZ****8代號1447,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經檢測無酒精反應,經檢測無酒精反應,,,,,,汽車右後車尾（身）,機車前車頭,,,,,,右轉彎未依規定,未保持行車安全距離,,,,,,右轉彎未依規定,右轉彎未依規定,,,,,,無業者,其他,,,,,,其他,其他,,,,,,本國,本國,
10205YZ000058,自用 小客車,自用 小客車,,,,,,小客車自用,小客車自用,,,,,,40,29,,,,,,未受傷,未受傷,,,,,,56****E代號1448,22****S代號1449,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經檢測無酒精反應,經檢測無酒精反應,,,,,,汽車左前車頭（身）,汽車左前車頭（身）,,,,,,未靠右行駛,未注意車前狀態,,,,,,未靠右行駛,未靠右行駛,,,,,,不明,不明,,,,,,其他,其他,,,,,,本國,本國,
10206YY000004,普通重型 機車, ,乘客 人,,,,,機車普通重型,,乘客,,,,,22,0,21,,,,,受傷,,受傷,,,,,30****U代號1450,,30****U代號1450,,,,,其他,,其他,,,,,有適當之駕照,,非汽（機）車駕駛人,,,,,經呼氣檢測超過0.80mg∕L或血液檢測超過0.16,,經呼氣檢測超過0.80mg∕L或血液檢測超過0.16,,,,,機車右側車身,,非汽（機）車,,,,,酒醉（後）駕駛失控,尚未發現肇事因素,尚未發現肇事因素,,,,,酒醉（後）駕駛失控,酒醉（後）駕駛失控,酒醉（後）駕駛失控,,,,,無業者,,無業者,,,,,其他,,其他,,,,,本國,本國,本國,
10206YY000007,自用 小貨車(含客、貨兩用),自用 大貨車,,,,,,小貨車自用,大貨車自用,,,,,,64,41,,,,,,未受傷,未受傷,,,,,,85****Q代號1451,25***H代號1452,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經檢測無酒精反應,經檢測無酒精反應,,,,,,汽車前車頭,汽車前車頭,,,,,,逆向行駛,尚未發現肇事因素,,,,,,逆向行駛,逆向行駛,,,,,,服務工作者,服務工作者,,,,,,業務聯繫,業務聯繫,,,,,,本國,本國,,
10206YY000011,自用 小貨車(含客、貨兩用), ,,,,,,小貨車自用,,,,,,,30,0,,,,,,受傷,,,,,,,00****V代號1453,,,,,,,其他,,,,,,,有適當之駕照,,,,,,,經檢測無酒精反應,,,,,,,汽車前車頭,,,,,,,未依規定減速,尚未發現肇事因素,,,,,,未依規定減速,未依規定減速,,,,,,技術工,,,,,,,上、下班,,,,,,,本國,本國,,
10206YY000017,自用 小客車,自用 小客車,乘客 人,乘客 人,,,,小客車自用,小客車自用,乘客,乘客,,,,35,47,23,18,,,,受傷,受傷,受傷,受傷,,,,7J****6代號1454,WY****7代號1455,WY****7代號1455,WY****7代號1455,,,,其他,其他,其他,其他,,,,有適當之駕照,有適當之駕照,非汽（機）車駕駛人,非汽（機）車駕駛人,,,,經呼氣檢測0.16至0.25mg∕L或血液檢測0.031至0.05,經檢測無酒精反應,非駕駛人，未檢測,非駕駛人，未檢測,,,,汽車前車頭,汽車前車頭,非汽（機）車,非汽（機）車,,,,逆向行駛,尚未發現肇事因素,尚未發現肇事因素,尚未發現肇事因素,,,,逆向行駛,逆向行駛,逆向行駛,逆向行駛,,,,技術工,家庭主婦（夫）,技術員及助理人員,高中生,,,,不明,其他,其他,其他,,,,本國,本國,本國,本國
10206YY000018,普通重型 機車, ,乘客 人,,,,,機車普通重型,,乘客,,,,,56,0,61,,,,,受傷,,受傷,,,,,3J****2代號1456,,3J****2代號1456,,,,,其他,,其他,,,,,有適當之駕照,,非汽（機）車駕駛人,,,,,經檢測無酒精反應,,非駕駛人，未檢測,,,,,機車右側車身,,非汽（機）車,,,,,未注意車前狀態,尚未發現肇事因素,尚未發現肇事因素,,,,,未注意車前狀態,未注意車前狀態,未注意車前狀態,,,,,家庭主婦（夫）,,家庭主婦（夫）,,,,,社交活動,,社交活動,,,,,本國,本國,本國,
10206YY000019,自用 小貨車(含客、貨兩用),普通重型 機車,,,,,,小貨車自用,機車普通重型,,,,,,25,49,,,,,,未受傷,受傷,,,,,,19****6代號1457,77****C代號1458,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經檢測無酒精反應,經檢測無酒精反應,,,,,,汽車左後車尾（身）,機車前車頭,,,,,,未依規定讓車,未依規定減速,,,,,,未依規定讓車,未依規定讓車,,,,,,服務工作者,農林漁牧工作者,,,,,,業務聯繫,購物,,,,,,本國,本國,,
10206YY000020,計程車 小客車,自用 小客車,,,,,,小客車計程車,小客車自用,,,,,,44,36,,,,,,未受傷,未受傷,,,,,,VX***9代號1459,WY****5代號1460,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,不明,經檢測無酒精反應,,,,,,汽車前車頭,汽車左前車頭（身）,,,,,,未靠右行駛,尚未發現肇事因素,,,,,,未靠右行駛,未靠右行駛,,,,,,農林漁牧工作者,農林漁牧工作者,,,,,,上、下班,上、下班,,,,,,本國,本國,,
10206YY000021,自用 小貨車(含客、貨兩用),自用 小客車,,,,,,小貨車自用,小客車自用,,,,,,49,61,,,,,,未受傷,未受傷,,,,,,20****S代號1461,K3****1代號1462,,,,,,其他,其他,,,,,,無照（已達考照年齡）,有適當之駕照,,,,,,經檢測無酒精反應,經檢測無酒精反應,,,,,,汽車後車尾,汽車左前車頭（身）,,,,,,倒車未依規定,尚未發現肇事因素,,,,,,倒車未依規定,倒車未依規定,,,,,,事務工作者,服務工作者,,,,,,運輸,業務聯繫,,,,,,本國,本國,,
10206YY000022,自用 小客車,普通重型 機車,,,,,,小客車自用,機車普通重型,,,,,,29,21,,,,,,未受傷,受傷,,,,,,86****V代號1042,53****T代號1463,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經檢測無酒精反應,經檢測無酒精反應,,,,,,汽車左前車頭（身）,機車前車頭,,,,,,未依規定讓車,未依規定減速,,,,,,未依規定讓車,未依規定讓車,,,,,,其他,其他,,,,,,其他,其他,,,,,,本國,本國,,
10206YY000023,自用 小貨車(含客、貨兩用),普通重型 機車,,,,,,小貨車自用,機車普通重型,,,,,,53,30,,,,,,未受傷,受傷,,,,,,76****K代號1154,33****K代號1464,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經檢測無酒精反應,經檢測無酒精反應,,,,,,不明,不明,,,,,,未依規定讓車,未依規定減速,,,,,,未依規定讓車,未依規定讓車,,,,,,其他,其他,,,,,,其他,其他,,,,,,本國,本國,,
10206YY000026,普通重型 機車,自用 小貨車(含客、貨兩用),,,,,,機車普通重型,小貨車自用,,,,,,57,57,,,,,,受傷,未受傷,,,,,,3J****7代號1465,6F****8代號1466,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經檢測無酒精反應,經檢測無酒精反應,,,,,,機車前車頭,汽車右側車身,,,,,,未依規定讓車,未依規定減速,,,,,,未依規定讓車,未依規定讓車,,,,,,其他,其他,,,,,,其他,其他,,,,,,本國,本國,,
10206YY000029,普通重型 機車, ,乘客 人,,,,,機車普通重型,,乘客,,,,,23,0,22,,,,,受傷,,受傷,,,,,NL****8代號1467,,NL****8代號1467,,,,,其他,,其他,,,,,有適當之駕照,,非汽（機）車駕駛人,,,,,經檢測無酒精反應,,非駕駛人，未檢測,,,,,機車右側車身,,非汽（機）車,,,,,未注意車前狀態,尚未發現肇事因素,尚未發現肇事因素,,,,,未注意車前狀態,未注意車前狀態,未注意車前狀態,,,,,其他,,其他,,,,,觀光旅遊,,觀光旅遊,,,,,本國,本國,本國,
10206YY000030,普通重型 機車,行人 人,,,,,,機車普通重型,行人,,,,,,20,56,,,,,,受傷,受傷,,,,,,92****V代號1468,,,,,,,其他,非駕駛人及乘客,,,,,,有適當之駕照,非汽（機）車駕駛人,,,,,,經檢測無酒精反應,非駕駛人，未檢測,,,,,,機車右側車身,非汽（機）車,,,,,,未注意車前狀態,其他引起事故之疏失或行為,,,,,,未注意車前狀態,未注意車前狀態,,,,,,無業者,家庭主婦（夫）,,,,,,其他,其他,,,,,,本國,本國,,
10206YY000031,自用 小貨車(含客、貨兩用),普通重型 機車,,,,,,小貨車自用,機車普通重型,,,,,,49,24,,,,,,未受傷,受傷,,,,,,WY****0代號1469,96****V代號1470,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經檢測無酒精反應,經檢測無酒精反應,,,,,,不明,不明,,,,,,右轉彎未依規定,未保持行車安全距離,,,,,,右轉彎未依規定,右轉彎未依規定,,,,,,其他,其他,,,,,,其他,其他,,,,,,本國,本國,,
10206YY000033,自用 小客車,普通重型 機車,乘客 人,,,,,小客車自用,機車普通重型,乘客,,,,,22,29,29,,,,,未受傷,受傷,受傷,,,,,06****V代號1471,AD*****1代號1472,AD*****1代號1472,,,,,其他,其他,其他,,,,,有適當之駕照,有適當之駕照,非汽（機）車駕駛人,,,,,經檢測無酒精反應,經檢測無酒精反應,非駕駛人，未檢測,,,,,汽車後車尾,機車前車頭,非汽（機）車,,,,,右轉彎未依規定,未保持行車安全距離,尚未發現肇事因素,,,,,右轉彎未依規定,右轉彎未依規定,右轉彎未依規定,,,,,其他,其他,其他,,,,,其他,其他,其他,,,,,本國,本國,本國,
10206YY000035,自用 小客車,普通重型 機車,,,,,,小客車自用,機車普通重型,,,,,,51,20,,,,,,未受傷,受傷,,,,,,59****5代號1473,59****D代號1474,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經檢測無酒精反應,經檢測無酒精反應,,,,,,汽車左前車頭（身）,機車前車頭,,,,,,未依規定讓車,未注意車前狀態,,,,,,未依規定讓車,未依規定讓車,,,,,,其他,其他,,,,,,其他,其他,,,,,,本國,本國,,
10206YY000038,普通重型 機車, ,,,,,,機車普通重型,,,,,,,48,0,,,,,,受傷,,,,,,,27****C代號1475,,,,,,,其他,,,,,,,有適當之駕照,,,,,,,經檢測無酒精反應,,,,,,,機車右側車身,,,,,,,未注意車前狀態,尚未發現肇事因素,,,,,,未注意車前狀態,未注意車前狀態,,,,,,服務工作者,,,,,,,上、下班,,,,,,,本國,本國,
10206YY000039, ,自用 小客車,,,,,,,小客車自用,,,,,,0,26,,,,,,,未受傷,,,,,,,97****7代號1476,,,,,,,其他,,,,,,,有適當之駕照,,,,,,,經檢測無酒精反應,,,,,,,汽車前車頭,,,,,,路況危險無安全（警告）設施,未注意車前狀態,,,,,,路況危險無安全（警告）設施,路況危險無安全（警告）設施,,,,,,,其他,,,,,,,其他,,,,,,本國,本國,
10206YY000040,自用 小客車,自用 小客車,,,,,,小客車自用,小客車自用,,,,,,34,35,,,,,,未受傷,未受傷,,,,,,93****E代號1477,23****S代號1478,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經檢測無酒精反應,經檢測無酒精反應,,,,,,汽車左後車尾（身）,汽車左側車身,,,,,,倒車未依規定,尚未發現肇事因素,,,,,,倒車未依規定,倒車未依規定,,,,,,其他,其他,,,,,,其他,其他,,,,,,本國,本國,
10206YZ000001,普通重型 機車,自用 小貨車(含客、貨兩用),,,,,,機車普通重型,小貨車自用,,,,,,54,58,,,,,,受傷,未受傷,,,,,,08****F代號1479,6F****0代號1480,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經檢測無酒精反應,經檢測無酒精反應,,,,,,機車前車頭,汽車右側車身,,,,,,未依規定讓車,未依規定減速,,,,,,未依規定讓車,未依規定讓車,,,,,,其他,其他,,,,,,其他,其他,,,,,,本國,本國,
10206YZ000002,自用 小客車,自用 小客車,,,,,,小客車自用,小客車自用,,,,,,27,59,,,,,,未受傷,未受傷,,,,,,73****G代號1103,15****V代號1117,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經呼氣檢測超過0.80mg∕L或血液檢測超過0.16,經觀察未飲酒,,,,,,汽車前車頭,汽車左側車身,,,,,,酒醉（後）駕駛失控,尚未發現肇事因素,,,,,,酒醉（後）駕駛失控,酒醉（後）駕駛失控,,,,,,技術員及助理人員,專業人員,,,,,,社交活動,其他,,,,,,本國,本國,
10206YZ000003,普通重型 機車,普通重型 機車,乘客 人,,,,,機車普通重型,機車普通重型,乘客,,,,,39,20,19,,,,,受傷,受傷,受傷,,,,,52****A代號1481,3J****9代號1482,3J****9代號1482,,,,,其他,其他,其他,,,,,駕照被吊（註）銷,有適當之駕照,非汽（機）車駕駛人,,,,,經檢測無酒精反應,經檢測無酒精反應,非駕駛人，未檢測,,,,,機車前車頭,機車左側車身,非汽（機）車,,,,,未依規定讓車,未依規定減速,尚未發現肇事因素,,,,,未依規定讓車,未依規定讓車,未依規定讓車,,,,,其他,大學（研究）生,高中生,,,,,其他,其他,其他,,,,,本國,本國,本國
10206YZ000005,普通重型 機車,自用 小客車,,,,,,機車普通重型,小客車自用,,,,,,41,59,,,,,,未受傷,未受傷,,,,,,65****F代號1483,WY****3代號1484,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經檢測無酒精反應,經檢測無酒精反應,,,,,,機車前車頭,汽車左前車頭（身）,,,,,,未依規定讓車,未依規定減速,,,,,,未依規定讓車,未依規定讓車,,,,,,其他,其他,,,,,,其他,其他,,,,,,本國,本國,
10206YZ000006, ,自用 小客車,,,,,,,小客車自用,,,,,,0,35,,,,,,未受傷,未受傷,,,,,,,6F****9代號1485,,,,,,其他,其他,,,,,,不明,有適當之駕照,,,,,,不明,經觀察未飲酒,,,,,,不明,汽車後車尾,,,,,,不明原因肇事,尚未發現肇事因素,,,,,,不明原因肇事,不明原因肇事,,,,,,不明,不明,,,,,,不明,不明,,,,,,本國,本國,
10206YZ000008,普通重型 機車,行人 人,,,,,,機車普通重型,行人,,,,,,22,20,,,,,,受傷,受傷,,,,,,L3****5代號1486,,,,,,,其他,非駕駛人及乘客,,,,,,有適當之駕照,非汽（機）車駕駛人,,,,,,經檢測無酒精反應,非駕駛人，未檢測,,,,,,機車右側車身,非汽（機）車,,,,,,未注意車前狀態,尚未發現肇事因素,,,,,,未注意車前狀態,未注意車前狀態,,,,,,大學（研究）生,大學（研究）生,,,,,,其他,其他,,,,,,本國,本國,
10206YZ000009,普通重型 機車, ,,,,,,機車普通重型,,,,,,,23,0,,,,,,受傷,,,,,,,16****J代號1487,,,,,,,其他,,,,,,,有適當之駕照,,,,,,,經檢測無酒精反應,,,,,,,機車右側車身,,,,,,,未注意車前狀態,尚未發現肇事因素,,,,,,未注意車前狀態,未注意車前狀態,,,,,,大學（研究）生,,,,,,,其他,,,,,,,本國,本國,
10206YZ000010,自用 小客車,普通重型 機車,,,,,,小客車自用,機車普通重型,,,,,,26,21,,,,,,未受傷,受傷,,,,,,6F****9代號1488,86****F代號1489,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經檢測無酒精反應,經檢測無酒精反應,,,,,,汽車右前車頭（身）,機車前車頭,,,,,,未依規定讓車,未依規定減速,,,,,,未依規定讓車,未依規定讓車,,,,,,其他,其他,,,,,,其他,其他,,,,,,本國,本國,
10206YZ000012,自用 小客車,自用 小貨車(含客、貨兩用),,,,,,小客車自用,小貨車自用,,,,,,55,27,,,,,,,,,,,,,WY****8代號1490,6F****1代號1491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,本國,本國,
10206YZ000013,自用 小客車,普通重型 機車,乘客 人,,,,,小客車自用,機車普通重型,乘客,,,,,48,20,20,,,,,未受傷,受傷,受傷,,,,,AA*****0代號1492,33****V代號1493,33****V代號1493,,,,,其他,其他,其他,,,,,有適當之駕照,有適當之駕照,非汽（機）車駕駛人,,,,,經檢測無酒精反應,經檢測無酒精反應,非駕駛人，未檢測,,,,,汽車右前車頭（身）,機車前車頭,非汽（機）車,,,,,右轉彎未依規定,未依規定減速,尚未發現肇事因素,,,,,右轉彎未依規定,右轉彎未依規定,右轉彎未依規定,,,,,其他,其他,其他,,,,,其他,其他,其他,,,,,本國,本國,本國
10206YZ000014,普通重型 機車, ,乘客 人,,,,,機車普通重型,,乘客,,,,,78,0,70,,,,,受傷,,受傷,,,,,53****U代號1494,,53****U代號1494,,,,,其他,,其他,,,,,有適當之駕照,,非汽（機）車駕駛人,,,,,經檢測無酒精反應,,非駕駛人，未檢測,,,,,機車右側車身,,非汽（機）車,,,,,未依規定減速,尚未發現肇事因素,尚未發現肇事因素,,,,,未依規定減速,未依規定減速,未依規定減速,,,,,不明,,不明,,,,,不明,,不明,,,,,本國,本國,本國
10206YZ000015,普通重型 機車, ,,,,,,機車普通重型,,,,,,,61,0,,,,,,受傷,,,,,,,PZ****9代號1495,,,,,,,其他,,,,,,,有適當之駕照,,,,,,,經呼氣檢測超過0.80mg∕L或血液檢測超過0.16,,,,,,,機車前車頭,,,,,,,酒醉（後）駕駛失控,尚未發現肇事因素,,,,,,酒醉（後）駕駛失控,酒醉（後）駕駛失控,,,,,,其他,,,,,,,其他,,,,,,,本國,本國,
10206YZ000016,普通重型 機車,普通重型 機車,,,,,,機車普通重型,機車普通重型,,,,,,19,24,,,,,,未受傷,受傷,,,,,,11****G代號1496,27****F代號1497,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經檢測無酒精反應,經呼氣檢測0.56至0.80mg∕L或血液檢測0.111至0.16,,,,,,機車左側車身,機車前車頭,,,,,,未靠右行駛,酒醉（後）駕駛失控,,,,,,未靠右行駛,未靠右行駛,,,,,,不明,不明,,,,,,其他,其他,,,,,,本國,本國,
10206YZ000024,自用 小客車,電動輔助自行車 慢車,,,,,,小客車自用,電動輔助自行車,,,,,,48,85,,,,,,未受傷,受傷,,,,,,6F****6代號1498,,,,,,,其他,其他,,,,,,有適當之駕照,非汽（機）車駕駛人,,,,,,經檢測無酒精反應,經檢測無酒精反應,,,,,,汽車右前車頭（身）,非汽（機）車,,,,,,未注意車前狀態,變換車道或方向不當,,,,,,未注意車前狀態,未注意車前狀態,,,,,,技術工,無業者,,,,,,上、下班,其他,,,,,,本國,本國,
10206YZ000027,自用 小客車,普通重型 機車,,,,,,小客車自用,機車普通重型,,,,,,62,20,,,,,,未受傷,受傷,,,,,,21****S代號1499,GD****7代號1500,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經檢測無酒精反應,經檢測無酒精反應,,,,,,汽車右前車頭（身）,機車前車頭,,,,,,未依規定讓車,未依規定減速,,,,,,未依規定讓車,未依規定讓車,,,,,,其他,不明,,,,,,不明,不明,,,,,,本國,本國,
10206YZ000028,自用 小客車,普通輕型 機車,,,,,,小客車自用,機車普通輕型,,,,,,47,22,,,,,,未受傷,受傷,,,,,,6F****1代號1501,TR****1代號1502,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經檢測無酒精反應,經檢測無酒精反應,,,,,,汽車右側車身,機車前車頭,,,,,,未依規定讓車,未依規定減速,,,,,,未依規定讓車,未依規定讓車,,,,,,不明,不明,,,,,,上、下班,不明,,,,,,本國,本國,
10206YZ000032,自用 小客車,普通重型 機車,,,,,,小客車自用,機車普通重型,,,,,,32,41,,,,,,未受傷,受傷,,,,,,18****S代號1503,PZ****9代號1504,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經檢測無酒精反應,經呼氣檢測超過0.80mg∕L或血液檢測超過0.16,,,,,,汽車右側車身,機車右側車身,,,,,,未依規定讓車,未依規定減速,,,,,,未依規定讓車,未依規定讓車,,,,,,其他,其他,,,,,,其他,其他,,,,,,本國,本國,
10206YZ000034,普通重型 機車,自用 小貨車(含客、貨兩用),,,,,,機車普通重型,小貨車自用,,,,,,34,28,,,,,,受傷,未受傷,,,,,,58****G代號1505,WY****2代號1506,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經檢測無酒精反應,經檢測無酒精反應,,,,,,機車前車頭,汽車左前車頭（身）,,,,,,未依規定讓車,未依規定減速,,,,,,未依規定讓車,未依規定讓車,,,,,,技術員及助理人員,技術員及助理人員,,,,,,上、下班,上、下班,,,,,,本國,本國,
10206YZ000036,普通輕型 機車, ,,,,,,機車普通輕型,,,,,,,22,0,,,,,,受傷,,,,,,,52****B代號1507,,,,,,,其他,,,,,,,有適當之駕照,,,,,,,經檢測無酒精反應,,,,,,,機車前車頭,,,,,,,未注意車前狀態,尚未發現肇事因素,,,,,,未注意車前狀態,未注意車前狀態,,,,,,大學（研究）生,,,,,,,其他,,,,,,,本國,本國,
